elementIndex_scala,elementIndex_c,value
0,0,0.2424652548688755
1,1,0.59741230471991
8,2,0.4613037249109766
9,3,0.4613037219896796
16,4,0.5974123023661377
17,5,0.24246525575654232
2,6,0.043207129561778856
3,7,0.16283638571985648
10,8,0.10832894479244715
11,9,0.10832894299164764
18,10,0.16283638515596977
19,11,0.04320712948901928
24,12,1.8963401089422405E-6
25,13,3.835557436104864E-7
32,14,3.372406354174018E-9
33,15,3.372406354174018E-9
40,16,3.835557436104864E-7
41,17,1.8963401089422405E-6
26,18,0.20624274736474035
27,19,0.02453874236016418
34,20,4.358298610895872E-9
35,21,4.358298610895872E-9
42,22,0.024538743491575588
43,23,0.20624275539739756
48,24,0.6456996825618262
49,25,0.19171932120298152
56,26,3.243862338422332E-4
57,27,3.243861465307418E-4
64,28,0.19171932729295804
65,29,0.6456996992601489
50,30,0.7843056427846022
51,31,0.2081658276838425
58,32,0.0018860464297176804
59,33,0.001886045927676605
66,34,0.2081658278075338
67,35,0.7843056490382878
4,36,0.2902514483575942
5,37,0.5938421407045098
12,38,0.3121108855048078
13,39,0.31211088898271555
20,40,0.5938421431055758
21,41,0.29025144304614514
6,42,0.05135220673400909
7,43,0.14797514073870843
14,44,0.05743492307374254
15,45,0.05743492498731939
22,46,0.14797514146266622
23,47,0.05135220672309515
28,48,0.024474409870890668
29,49,4.2579995351843536E-5
36,50,3.6426354199647903E-7
37,51,3.6426354199647903E-7
44,52,4.257998807588592E-5
45,53,0.02447440986361471
30,54,0.2967121508772834
31,55,0.0489253571977315
38,56,4.632900527212769E-6
39,57,4.632900527212769E-6
46,58,0.048925357183179585
47,59,0.296712151808606
52,60,0.6818538551378879
53,61,0.16359048323647585
60,62,1.9044069631490856E-5
61,63,1.9044069631490856E-5
68,64,0.16359048398953746
69,65,0.6818538598017767
54,66,0.6793994304753141
55,67,0.17217163548411918
62,68,3.1346830292022787E-4
63,69,3.134682192467153E-4
70,70,0.17217163520035683
71,71,0.6793994313302392
72,72,0.41229488057797425
73,73,0.5939101243784535
80,74,0.18152369432209525
81,75,0.18152369605013519
88,76,0.5939101204421604
89,77,0.4122948820768215
74,78,0.10000053999465308
75,79,0.13528762074929546
82,80,0.024897242117731366
83,81,0.024897242372389883
90,82,0.13528762009809725
91,83,0.10000053806288633
96,84,0.26637985347406357
97,85,0.042294250219129026
104,86,1.1693606575136073E-4
105,87,1.1693606938933954E-4
112,88,0.04229425035737222
113,89,0.26637985389243113
98,90,0.5954146597505314
99,91,0.14710601558181224
106,92,2.9577562600024976E-4
107,93,2.95775640552165E-4
114,94,0.14710601566548576
115,95,0.5954146599251544
120,96,0.5904318002685613
121,97,0.15275535499313264
128,98,1.0185361679759808E-4
129,99,1.0185359496972524E-4
136,100,0.15275535514592775
137,101,0.590431801181694
122,102,0.28919022192712873
123,103,0.05112793476655497
130,104,1.8349157471675426E-5
131,105,1.8349157471675426E-5
138,106,0.05112793471562327
139,107,0.28919022200716427
76,108,0.49946684659153107
77,109,0.5454649415260064
84,110,0.1367290641537693
85,111,0.1367290642883745
92,112,0.545464968548913
93,113,0.499466932771611
78,114,0.35413746750418795
79,115,0.1784235687882756
86,116,0.02088544851721963
87,117,0.020885448950139107
94,118,0.17842357566041755
95,119,0.3541374990600161
100,120,0.5889556630063453
101,121,0.14560891072324011
108,122,0.00352551228570519
109,123,0.0035255122638773173
116,124,0.14560891074870597
117,125,0.5889556659858499
102,126,0.6373854993653367
103,127,0.14502777958841762
110,128,0.0013214224200055469
111,129,0.001321422569162678
118,130,0.14502778063251753
119,131,0.6373855052042927
124,132,0.3164475988924096
125,133,0.07461939549830277
132,134,2.941954880952835E-4
133,135,2.9419551356113516E-4
140,136,0.07461939685890684
141,137,0.3164476027995988
126,138,0.06381281379071879
127,139,0.005052126747614238
134,140,3.606328391470015E-8
135,141,3.606328391470015E-8
142,142,0.005052126976806903
143,143,0.06381281530775595
144,144,0.49826996333285933
145,145,0.4272361001603713
152,146,0.2027769612177508
153,147,0.20277696247285348
160,148,0.4272361110888596
161,149,0.4982699988540844
146,150,0.6437514694553101
147,151,0.2836571289844869
154,152,0.04702088748672395
155,153,0.04702088810154237
162,154,0.2836571352891042
163,155,0.6437514779318008
168,156,0.6570227475858701
169,157,0.19329791816562647
176,158,0.017771478029317223
177,159,0.017771476857888047
184,160,0.19329791687778197
185,161,0.6570227515367151
170,162,0.3961480481084436
171,163,0.11134709736143122
178,164,0.0036724852106999606
179,165,0.003672484977869317
186,166,0.11134710158148664
187,167,0.39614806295139715
192,168,0.1355624850912136
193,169,0.016228503787715454
200,170,2.8619506338145584E-6
201,171,2.8619506338145584E-6
208,172,0.016228505191975273
209,173,0.13556249424800626
194,174,0.006133734881586861
195,175,3.55576048605144E-8
202,176,0.0
203,177,0.0
210,178,3.55576048605144E-8
211,179,0.006133735179901123
148,180,0.738113110721315
149,181,0.7431613953958731
156,182,0.6605256792063301
157,183,0.6605256805414683
164,184,0.7431614043853187
165,185,0.7381131100664788
150,186,0.7485688678716542
151,187,0.45986519664438674
158,188,0.21513177747328882
159,189,0.21513178378882003
166,190,0.45986521651866497
167,191,0.748568874954799
172,192,0.37768690804659855
173,193,0.1346720233959786
180,194,0.019068435791268712
181,195,0.019068436729867244
188,196,0.1346720290966914
189,197,0.37768691006931476
174,198,0.12142277056045714
175,199,0.02031346797957667
182,200,4.821053153136745E-5
183,201,4.821053153136745E-5
190,202,0.020313468852691585
191,203,0.12142277719613048
196,204,0.014083228717936436
197,205,2.113425580319017E-6
204,206,0.0
205,207,0.0
212,208,2.113425580319017E-6
213,209,0.014083230154938065
198,210,1.4006218407303095E-9
199,211,0.0
206,212,0.0
207,213,0.0
214,214,0.0
215,215,1.4006218407303095E-9
